"","Quantile","Effect Modifier","Median CATE","Mean CATE","Lower 95% CI","Upper 95% CI"
"1",100,"education_none_1:mass_media_1",0.048,0.048,0.043,0.053
"2",100,"education_none_1:rural_residence_1",0.041,0.041,0.037,0.044
"3",100,"education_none",0.033,0.033,0.029,0.037
"4",50,"education_none_1:mass_media_1",0.03,0.031,0.026,0.035
"5",0,"education_none_0:mass_media_0",0.029,0.029,0.025,0.033
"6",100,"education_none_1:mass_media_0",0.027,0.027,0.024,0.031
"7",50,"education_none_1:mass_media_0",0.024,0.024,0.019,0.027
"8",100,"mass_media_1:rural_residence_1",0.023,0.024,0.02,0.027
"9",0,"mass_media_1:education_none_0",0.023,0.023,0.018,0.027
"10",0,"rural_residence_1:education_none_0",0.023,0.023,0.02,0.028
"11",0,"mass_media_0:rural_residence_0",0.022,0.022,0.017,0.026
"12",100,"rural_residence",0.021,0.021,0.016,0.026
"13",50,"mass_media_1:rural_residence_1",0.02,0.02,0.016,0.025
"14",0,"education_none_0:rural_residence_0",0.019,0.019,0.015,0.022
"15",50,"education_none_1:rural_residence_1",0.018,0.018,0.014,0.023
"16",100,"mass_media_0:rural_residence_0",-0.018,-0.018,-0.023,-0.014
"17",50,"mass_media_1:education_none_0",0.015,0.015,0.011,0.019
"18",50,"education_none",0.015,0.014,0.01,0.019
"19",100,"education_none_0:mass_media_0",-0.014,-0.014,-0.018,-0.01
"20",0,"mass_media_1:rural_residence_1",0.014,0.014,0.008,0.018
"21",0,"education_none_1:mass_media_1",0.014,0.014,0.011,0.017
"22",0,"education_none_1:mass_media_0",0.01,0.01,0.005,0.013
"23",50,"rural_residence",0.009,0.01,0.005,0.013
"24",50,"rural_residence_1:education_none_0",0.009,0.009,0.006,0.014
"25",50,"education_none_0:mass_media_0",0.008,0.008,0.004,0.014
"26",100,"rural_residence_1:education_none_0",-0.008,-0.008,-0.014,-0.004
"27",50,"education_none_0:rural_residence_0",0.007,0.007,0.002,0.011
"28",0,"education_none",-0.007,-0.007,-0.01,-0.003
"29",0,"education_none_1:rural_residence_1",-0.005,-0.005,-0.01,-0.001
"30",100,"education_none_0:rural_residence_0",-0.005,-0.005,-0.009,-0.001
"31",0,"rural_residence",-0.003,-0.002,-0.007,0.002
"32",100,"mass_media_1:education_none_0",0.001,0.001,-0.004,0.005
"33",50,"mass_media_0:rural_residence_0",0,0.001,-0.002,0.004
